codigo,descripcio,cov_,cov_id,Area_has
10102040104.00000000000,AGRICULTURA DE RIEGO ANUAL,86116,86117,9575.98
10102040102.00000000000,AGRICULTURA DE RIEGO ANUAL Y SEMIPERMANENTE,85892,85893,17906.66
10102010304.00000000000,AGRICULTURA DE RIEGO PLANTACION AGRICOLA PERMANENTE,89644,89645,57.15
10102040204.00000000000,AGRICULTURA DE RIEGO SEMIPERMANENTE,85719,85720,816.92
10101040104.00000000000,AGRICULTURA DE TEMPORAL ANUAL,81508,81509,210200.28
10101040103.00000000000,AGRICULTURA DE TEMPORAL ANUAL Y PERMANENTE,83265,83266,76337.98
10101040102.00000000000,AGRICULTURA DE TEMPORAL ANUAL Y SEMIPERMANENTE,88398,88399,164.16
10101010304.00000000000,AGRICULTURA DE TEMPORAL PLANTACION AGRICOLA PERMANENTE,87947,87948,112.37
30000000032.00000000000,ASENTAMIENTOS HUMANOS,85366,85367,705.29
10301030304.00000000000,BOSQUE CULTIVADO PLANTACION FORESTAL PERMANENTE,88559,88560,76.45
20201010400.00000000000,BOSQUE DE ENCINO,84473,84474,4235.07
20202010400.00000000000,BOSQUE DE ENCINO-PINO,84783,84784,1702.96
20103010400.00000000000,BOSQUE DE OYAMEL,84505,84506,3841.34
20104010400.00000000000,BOSQUE DE PINO,82625,82626,20430.01
20105010400.00000000000,BOSQUE DE PINO-ENCINO,84602,84603,2924.91
20106010400.00000000000,BOSQUE DE TÁSCATE,84337,84338,5262.89
30000000031.00000000000,CUERPO DE AGUA,85292,85293,1598.16
20906010400.00000000000,MATORRAL CRASICAULE,85186,85187,160.16
20905010400.00000000000,MATORRAL DESÉRTICO ROSETÓFILO,86719,86720,9243.00
20802010400.00000000000,PASTIZAL HALÓFILO,88172,88173,421.16
21302030300.00000000000,PASTIZAL INDUCIDO,84210,84211,26605.96
20804010400.00000000000,PRADERA DE ALTA MONTAÑA,89667,89668,482.52
21201030300.00000000000,SIN VEGETACIÓN APARENTE,89755,89756,103.64
21007030400.00000000000,TULAR,86032,86033,41.30
20201020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO,84467,84468,6969.63
20202020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO-PINO,84590,84591,1179.25
20104020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO,84460,84461,7139.42
20105020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO-ENCINO,85376,85377,1126.85
20106020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE TÁSCATE,84393,84394,10476.58
20201010500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE ENCINO,86397,86398,235.40
20104020500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE PINO,87286,87287,882.18
20105020500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE PINO-ENCINO,86685,86686,185.30
20106020500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE TÁSCATE,84833,84834,10.37
20106020700.00000000000,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE TÁSCATE,87146,87147,391.30
30000000033.00000000000,ZONA URBANA,85372,85373,4065.60
