codigo,descripcio,cov_,cov_id,Area_has
10102040104.00000000000,AGRICULTURA DE RIEGO ANUAL,86229,86230,12165.55
10102040102.00000000000,AGRICULTURA DE RIEGO ANUAL Y SEMIPERMANENTE,86224,86225,18268.75
10102010304.00000000000,AGRICULTURA DE RIEGO PLANTACION AGRICOLA PERMANENTE,90934,90935,57.15
10102040204.00000000000,AGRICULTURA DE RIEGO SEMIPERMANENTE,86498,86499,816.93
10101040104.00000000000,AGRICULTURA DE TEMPORAL ANUAL,81677,81678,199331.83
10101040103.00000000000,AGRICULTURA DE TEMPORAL ANUAL Y PERMANENTE,83652,83653,72740.87
10101040102.00000000000,AGRICULTURA DE TEMPORAL ANUAL Y SEMIPERMANENTE,87709,87710,316.44
10101010304.00000000000,AGRICULTURA DE TEMPORAL PLANTACION AGRICOLA PERMANENTE,89065,89066,112.36
10301030304.00000000000,BOSQUE CULTIVADO PLANTACION FORESTAL PERMANENTE,89737,89738,76.44
20201010400.00000000000,BOSQUE DE ENCINO,85193,85194,4803.73
20202010400.00000000000,BOSQUE DE ENCINO-PINO,85432,85433,2939.50
20103010400.00000000000,BOSQUE DE OYAMEL,85111,85112,3855.47
20104010400.00000000000,BOSQUE DE PINO,82919,82920,21899.05
20105010400.00000000000,BOSQUE DE PINO-ENCINO,85224,85225,3365.32
20106010400.00000000000,BOSQUE DE TÁSCATE,84923,84924,6001.49
30000000031.00000000000,CUERPO DE AGUA,86010,86011,1598.16
20906010400.00000000000,MATORRAL CRASICAULE,85892,85893,160.16
20905010400.00000000000,MATORRAL DESÉRTICO ROSETÓFILO,87672,87673,9199.59
20802010400.00000000000,PASTIZAL HALÓFILO,87895,87896,487.73
21302030300.00000000000,PASTIZAL INDUCIDO,84652,84653,33821.02
20804010400.00000000000,PRADERA DE ALTA MONTAÑA,90954,90955,482.48
21201030300.00000000000,SIN VEGETACIÓN APARENTE,91074,91075,103.61
21007030400.00000000000,TULAR,86859,86860,41.30
20201020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO,85064,85065,7900.61
20202020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO-PINO,85183,85184,320.15
20104020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO,84928,84929,6988.90
20105020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO-ENCINO,86109,86110,705.47
20106020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE TÁSCATE,84994,84995,11656.63
20906020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL CRASICAULE,87445,87446,103.24
20201010500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE ENCINO,87387,87388,263.25
20104020500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE PINO,88285,88286,241.48
20105020500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE PINO-ENCINO,87175,87176,307.56
20106020500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE TÁSCATE,85484,85485,10.38
20106020700.00000000000,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE TÁSCATE,86447,86448,460.01
30000000033.00000000000,ZONA URBANA,86105,86106,4065.61
