codigo,descripcio,cov_,cov_id,Area_has
10102040104.00000000000,AGRICULTURA DE RIEGO ANUAL,89401,89402,9771.57
10102040102.00000000000,AGRICULTURA DE RIEGO ANUAL Y SEMIPERMANENTE,89140,89141,18297.75
10102010304.00000000000,AGRICULTURA DE RIEGO PLANTACION AGRICOLA PERMANENTE,93305,93306,57.19
10102040204.00000000000,AGRICULTURA DE RIEGO SEMIPERMANENTE,88944,88945,816.44
10101040104.00000000000,AGRICULTURA DE TEMPORAL ANUAL,84439,84440,215636.07
10101040103.00000000000,AGRICULTURA DE TEMPORAL ANUAL Y PERMANENTE,86260,86261,69678.23
10101040102.00000000000,AGRICULTURA DE TEMPORAL ANUAL Y SEMIPERMANENTE,91926,91927,149.81
10101010304.00000000000,AGRICULTURA DE TEMPORAL PLANTACION AGRICOLA PERMANENTE,91432,91433,112.75
30000000032.00000000000,ASENTAMIENTOS HUMANOS,88557,88558,1653.39
10301030304.00000000000,BOSQUE CULTIVADO PLANTACION FORESTAL PERMANENTE,92105,92106,76.61
20201010400.00000000000,BOSQUE DE ENCINO,87569,87570,4238.94
20202010400.00000000000,BOSQUE DE ENCINO-PINO,87924,87925,1696.29
20103010400.00000000000,BOSQUE DE OYAMEL,87597,87598,3847.66
20104010400.00000000000,BOSQUE DE PINO,85591,85592,20501.74
20105010400.00000000000,BOSQUE DE PINO-ENCINO,87715,87716,3044.12
20106010400.00000000000,BOSQUE DE TÁSCATE,87418,87419,5296.80
30000000031.00000000000,CUERPO DE AGUA,88479,88480,1689.36
20906010400.00000000000,MATORRAL CRASICAULE,88376,88377,160.25
20905010400.00000000000,MATORRAL DESÉRTICO ROSETÓFILO,90080,90081,9086.91
20802010400.00000000000,PASTIZAL HALÓFILO,90707,90708,437.93
21302030300.00000000000,PASTIZAL INDUCIDO,87287,87288,26083.41
20804010400.00000000000,PRADERA DE ALTA MONTAÑA,93325,93326,485.89
21201030300.00000000000,SIN VEGETACIÓN APARENTE,93436,93437,103.39
21007030400.00000000000,TULAR,89307,89308,41.34
20201020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO,87561,87562,6936.87
20202020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO-PINO,87697,87698,1179.10
20104020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO,87554,87555,7156.88
20105020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO-ENCINO,88569,88570,1234.73
20106020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE TÁSCATE,87487,87488,10466.23
20201010500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE ENCINO,89717,89718,118.58
20104020500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE PINO,90268,90269,960.79
20105020500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE PINO-ENCINO,90034,90035,185.24
20106020500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE TÁSCATE,87980,87981,9.29
20106020700.00000000000,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE TÁSCATE,90545,90546,390.77
30000000033.00000000000,ZONA URBANA,88564,88565,4065.88
