codigo,descripcio,cov_,cov_id,Area_has
10101010304.00000000000,AGRICULTURA DE TEMPORAL PERMANENTE,84343,84344,112.75
10101040102.00000000000,AGRICULTURA DE TEMPORAL ANUAL Y SEMIPERMANENTE,83184,83185,151.93
10101040103.00000000000,AGRICULTURA DE TEMPORAL ANUAL Y PERMANENTE,82347,82348,69674.53
10101040104.00000000000,AGRICULTURA DE TEMPORAL ANUAL,70307,70308,214387.00
10102010304.00000000000,AGRICULTURA DE RIEGO PERMANENTE,63788,63789,57.19
10102040102.00000000000,AGRICULTURA DE RIEGO ANUAL Y SEMIPERMANENTE,63015,63016,18306.66
10102040104.00000000000,AGRICULTURA DE RIEGO ANUAL,60099,60100,9778.29
10102040204.00000000000,AGRICULTURA DE RIEGO SEMIPERMANENTE,64294,64295,816.42
10301030304.00000000000,BOSQUE CULTIVADO,5692,5693,76.61
20103010400.00000000000,BOSQUE DE OYAMEL,5539,5540,3683.16
20103020600.00000000000,VEGETACION SECUNDARIA ARBUSTIVA DE BOSQUE DE OYAMEL,88819,88820,171.09
20104010400.00000000000,BOSQUE DE PINO,6843,6844,20498.54
20104020500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE PINO,91352,91353,960.30
20104020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO,90083,90084,7155.28
20105010400.00000000000,BOSQUE DE PINO-ENCINO,8621,8622,3038.94
20105020500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE PINO-ENCINO,93715,93716,185.23
20105020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO-ENCINO,92175,92176,1234.31
20106010400.00000000000,BOSQUE DE TÁSCATE,5878,5879,5081.13
20106020500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE TÁSCATE,89074,89075,9.24
20106020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE TÁSCATE,88931,88932,10791.24
20106020700.00000000000,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE TÁSCATE,115979,115980,390.77
20201010400.00000000000,BOSQUE DE ENCINO,11291,11292,4238.01
20201010500.00000000000,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE ENCINO,97687,97688,118.58
20201020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO,94840,94841,6939.29
20202010400.00000000000,BOSQUE DE ENCINO-PINO,15223,15224,1696.40
20202020600.00000000000,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO-PINO,98327,98328,1179.00
20802010400.00000000000,PASTIZAL HALÓFILO,44904,44905,438.51
20804010400.00000000000,PRADERA DE ALTA MONTAÑA,117552,117553,485.31
20905010400.00000000000,MATORRAL DESÉRTICO ROSETÓFILO,29591,29592,9078.57
20906010400.00000000000,MATORRAL CRASICAULE,25927,25928,160.25
21007030400.00000000000,TULAR,117009,117010,63.99
21201030300.00000000000,SIN VEGETACIÓN APARENTE,17416,17417,104.28
21302030300.00000000000,PASTIZAL INDUCIDO,48636,48637,26045.48
30000000031.00000000000,CUERPO DE AGUA,19720,19721,1689.15
30000000032.00000000000,ASENTAMIENTOS HUMANOS,1997,1998,2804.89
30000000033.00000000000,ZONA URBANA,119002,119003,4065.89
